frame,bbox,upscale_text,upscale_morph_text
233,"1044,870,1250,986",চট্ট মে্ট্রো: ১৪-২৩৫১,চট্ট মেন্ট্রোগ ১৪-২৩৫১
234,"1031,869,1236,985",৫4্রো শ ১৪-২৩৫১ ৮৬,স৬] স ১৪৪৩৫১[ ৮৬
235,"1015,867,1222,985","(2!.11 ""1 ({882'@ 01","741 '9 [>44880^& ৬৬,"
236,"1001,866,1208,986","41}{!| /}414"")0","৬ 024) "") |:>143&0)4*"
237,"987,868,1195,986",চ্ড 'মণর} স ১৪ ২ ?১,কঁ534 ১৪ ২১?১ 5্5
238,"972,870,1185,990",ছয <রম ১২:333১,ময .য :3:33১
239,"958,870,1171,993",১৯৯৬,১৯৯৬:
240,"946,873,1157,993",১৯২01 88<৩0১,১ ২0া 8?>৩6১
241,"932,873,1144,991",4ছে ১৪:>;1,4_: ১8:3?1
242,"919,874,1135,990",,
243,"909,875,1123,991",,
244,"898,877,1112,995",,
245,"887,878,1098,993",,
246,"874,879,1087,995",,
247,"863,878,1075,995",533,"33"">"
248,"851,880,1067,995",,
249,"839,880,1059,994",,
250,"826,881,1044,993",,
251,"813,881,1029,994",,
252,"796,881,1012,996",,
253,"779,882,992,996",,
254,"757,881,973,997",,
255,"733,882,948,996",,
256,"704,883,926,997",,
257,"680,883,901,996",,
258,"656,883,877,997",,
259,"632,883,852,997",,
260,"609,883,829,999",,
261,"586,885,804,1000",,
262,"562,885,782,1000",,
263,"539,888,758,1003",,
264,"515,888,737,1004",,
265,"489,891,711,1009",,
266,"465,892,687,1011",,
267,"436,892,664,1010",,
268,"411,897,643,1016",,
269,"385,903,618,1020",,
270,"364,906,594,1025",,
271,"341,908,571,1030",,
272,"322,911,549,1031",[>343,"[8:8"")"
273,"304,912,532,1034",,
274,"286,914,517,1038",,
275,"269,918,500,1039",,
276,"252,921,484,1041",,
277,"233,921,462,1044",চট চব ১8ং>90>,চট {ব ১8ং>9৫>
278,"216,924,443,1043",চট্ট মেট্রো গ ১৪ং২৩৫১,চট্ট মেট্রোগ ১৪ং২৩৫১
279,"196,923,424,1043",চট্ট মেট্রোগ ১৪ং২৩৫১,চট্ট মেট্রো-গ ১৪ং২৩৫১
280,"177,923,405,1043",চট্ট মেট্রোগ ১৪ং২৩৫১,চট্ মেট্রোগ ১৪৪২৩৫১
281,"162,921,391,1043",চট্ট মেট্রোগ ১৪-২৩৫১,চট্ট মেট্রোগ ১৪-২৩৫১
282,"144,921,379,1043","""{ >8:34193>",মে >8:3493>
283,"129,921,363,1042",,
284,"112,920,348,1043",44 3,23
285,"96,921,330,1044",৮1ধষ৫ো ১৪ ২৩০১,৮৬6৫৬] ১৪ ২৩০১
286,"80,922,311,1045",711 &4&![| &8৩03,[৬ (4৬ঁ]] &8৩0১
287,"64,922,297,1048",,
288,"47,924,279,1051",,
289,"29,924,262,1049",৬11 1!11| ১৪ ১৩০১,ফ1117!11) [১8৪৩9$
290,"15,926,251,1049",চরট় মেনা 03833!3288,চট্ট মে 0>833!3388
291,"1,926,240,1048",,
292,"0,926,228,1047",,
293,"0,929,215,1048",,
294,"0,928,202,1047",,
295,"0,931,190,1047",,
296,"0,929,178,1048",,
297,"0,928,165,1048",,
298,"0,929,153,1046",,
299,"0,929,137,1048",,
300,"0,929,124,1049",,
301,"0,928,110,1047",,
302,"0,929,99,1048",,
303,"0,929,85,1047",,
304,"0,930,72,1045",,
312,"1710,946,1916,1060",,
